item_id,location_id,customer_id,sale_date,units_sold,total_sales_value
p-24,l-15,c-101,2023-09-19,3,12.77
p-47,l-13,c-3,2025-10-06,10,94.94
p-30,l-36,c-47,2024-04-24,11,61.67
p-35,l-25,c-108,2024-01-10,2,19.42
p-45,l-18,c-144,2023-06-30,6,20.49
p-3,l-23,c-190,2024-08-04,8,11.49
p-31,l-45,c-3,2023-04-30,17,167.35
p-28,l-36,c-142,2024-05-24,18,164.45
p-16,l-14,c-27,2023-11-06,8,79.32
p-1,l-22,c-27,2023-12-18,3,17.84
p-35,l-30,c-80,2024-06-09,8,21.33
p-48,l-45,c-17,2023-08-18,6,52.55
p-48,l-48,c-185,2023-05-26,3,17.77
p-45,l-46,c-169,2023-02-06,8,16.12
p-14,l-1,c-199,2025-12-26,10,37.69
p-3,l-29,c-160,2025-05-17,19,90.02
p-33,l-10,c-187,2025-02-07,4,37.69
p-10,l-13,c-151,2025-02-06,12,92.23
p-42,l-8,c-122,2024-06-12,2,13.63
p-40,l-36,c-153,2024-02-19,13,57.24
p-20,l-18,c-149,2025-09-19,5,26.89
p-20,l-45,c-119,2025-08-27,16,140.89
p-27,l-4,c-24,2024-04-03,3,5.72
p-36,l-24,c-33,2023-01-20,11,63.27
p-39,l-36,c-142,2025-12-04,6,51.11
p-25,l-48,c-115,2023-04-24,4,27.93
p-34,l-47,c-63,2024-02-24,12,43.98
p-16,l-1,c-112,2025-05-24,12,119.24
p-28,l-31,c-157,2024-01-13,9,29.01
p-6,l-3,c-32,2024-01-12,20,35.47
p-35,l-41,c-101,2024-11-27,2,7.04
p-48,l-21,c-165,2024-11-08,1,9.58
p-30,l-33,c-33,2023-03-27,2,17.58
p-46,l-33,c-91,2023-01-13,2,16.65
p-24,l-24,c-148,2024-08-12,13,60.16
p-14,l-40,c-16,2025-08-12,4,35.79
p-15,l-2,c-55,2023-07-26,13,20.69
p-44,l-15,c-17,2025-07-08,6,30.11
p-12,l-12,c-35,2023-10-03,5,42.43
p-49,l-11,c-8,2024-07-04,2,5.73
p-15,l-21,c-75,2024-11-06,18,127.03
p-6,l-50,c-132,2023-06-10,14,37.51
p-22,l-6,c-98,2024-07-07,1,3.72
p-16,l-29,c-122,2024-02-19,16,94.67
p-37,l-14,c-164,2025-11-30,8,69.92
p-43,l-31,c-89,2025-12-14,17,161.71
p-34,l-2,c-192,2023-07-18,9,67.2
p-41,l-6,c-5,2023-08-07,2,17.57
p-3,l-23,c-16,2024-08-08,3,13.8
p-32,l-36,c-181,2023-04-21,6,32.61
p-27,l-13,c-148,2024-06-29,5,44.42
p-36,l-49,c-62,2023-05-04,11,55.78
p-20,l-35,c-92,2024-03-21,19,70.77
p-28,l-1,c-5,2024-07-16,14,59.66
p-16,l-50,c-116,2024-08-16,3,11.6
